Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3427,9/20/2019,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,10/7/1969,MA,Female,White,Widowed,Fully Meets,4,1/14/2023,1,2,3,7/15/2023,Leadership Development,Internal,Failed,2,606.11,50
3428,2/11/2023,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,8/30/1965,MA,Male,Hispanic,Widowed,Fully Meets,3,9/9/2022,2,1,5,9/12/2022,Customer Service,External,Incomplete,4,673.02,58
3429,12/10/2018,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,10/6/1991,MA,Male,Hispanic,Widowed,Fully Meets,4,5/27/2023,1,2,1,8/13/2022,Leadership Development,External,Failed,2,413.28,27
3430,6/21/2021,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,4/4/1998,ND,Male,Other,Single,Fully Meets,2,6/16/2023,5,5,4,12/15/2022,Project Management,External,Completed,3,663.78,23
3431,6/29/2019,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,8/29/1969,FL,Female,Other,Married,Fully Meets,3,11/25/2022,2,5,3,7/13/2023,Technical Skills,External,Failed,5,399.03,50
3432,1/17/2020,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,4/3/1949,CT,Male,Black,Married,Fully Meets,3,12/12/2022,2,3,5,4/18/2023,Project Management,Internal,Passed,2,820.33,71
3433,4/6/2022,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,7/1/1942,CA,Female,Hispanic,Divorced,Exceeds,4,3/25/2023,1,5,2,8/6/2022,Customer Service,External,Passed,5,295.08,80
3434,11/6/2020,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,3/7/1957,OR,Female,White,Divorced,Fully Meets,2,4/21/2023,1,4,2,10/7/2022,Leadership Development,Internal,Passed,3,790.15,63
3435,8/18/2018,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,5/15/1974,TX,Male,Black,Widowed,Exceeds,3,12/9/2022,4,3,3,7/19/2023,Customer Service,Internal,Passed,3,798.4,44
3436,1/21/2022,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,11/11/1949,TX,Male,Asian,Widowed,Fully Meets,5,7/30/2023,5,5,2,4/9/2023,Leadership Development,Internal,Failed,5,192.61,73
3437,8/4/2023,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,1/26/1964,IN,Female,Other,Single,Fully Meets,5,10/15/2022,3,2,5,10/20/2022,Technical Skills,Internal,Failed,1,455.68,59
3438,8/10/2018,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,4/6/1948,GA,Female,Asian,Married,Fully Meets,3,10/28/2022,4,2,5,10/5/2022,Technical Skills,Internal,Failed,2,208.17,70
3439,5/25/2022,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,11/24/1981,CO,Male,Other,Single,Fully Meets,3,10/30/2022,1,2,5,3/9/2023,Technical Skills,External,Incomplete,1,421.07,41
3440,12/5/2019,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,11/6/1951,KY,Female,White,Divorced,Fully Meets,3,9/24/2022,1,4,5,5/29/2023,Communication Skills,External,Failed,1,649.03,68
3441,4/28/2019,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,11/21/1989,NV,Male,Asian,Widowed,Exceeds,4,10/30/2022,4,2,5,1/8/2023,Project Management,Internal,Passed,4,450.2,30
3442,7/9/2019,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,11/24/1952,MA,Male,Black,Single,Exceeds,2,10/31/2022,2,5,3,3/6/2023,Project Management,External,Failed,4,286.87,67
3443,4/5/2021,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,4/8/1994,KY,Male,Asian,Widowed,Fully Meets,3,4/29/2023,2,2,4,2/18/2023,Technical Skills,External,Failed,3,402.13,27
3444,11/28/2021,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,11/15/1983,KY,Male,Other,Widowed,Fully Meets,3,12/14/2022,1,2,4,11/2/2022,Technical Skills,External,Failed,2,388.84,38
3445,1/16/2021,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,12/7/1985,KY,Female,Other,Married,Exceeds,4,5/7/2023,4,5,2,7/14/2023,Project Management,External,Completed,2,879.64,36
3446,8/24/2021,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,5/1/1996,TX,Female,White,Divorced,Exceeds,2,5/21/2023,4,3,5,12/11/2022,Technical Skills,Internal,Failed,5,701.13,25
3450,9/1/2020,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,8/11/1994,CO,Male,Other,Single,Exceeds,2,1/18/2023,4,3,5,1/12/2023,Technical Skills,Internal,Completed,4,186.07,26
3451,2/18/2021,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,1/15/1968,CO,Male,Other,Divorced,Exceeds,3,4/29/2023,5,1,2,3/22/2023,Technical Skills,External,Completed,1,921.97,53
3452,11/8/2022,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,1/7/1947,IN,Male,Black,Divorced,Fully Meets,2,1/19/2023,5,5,2,9/13/2022,Customer Service,Internal,Failed,1,691.04,75
3453,10/13/2022,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,4/7/1982,MA,Male,White,Widowed,Fully Meets,4,9/17/2022,5,5,3,8/25/2022,Customer Service,External,Completed,5,964.44,40
3454,9/11/2022,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,1/29/1970,KY,Male,Hispanic,Married,Needs Improvement,4,3/14/2023,4,4,2,2/7/2023,Communication Skills,Internal,Passed,3,184.9,52
3455,6/29/2021,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,1/18/1999,KY,Male,Other,Widowed,Exceeds,4,8/12/2022,2,1,1,3/17/2023,Project Management,External,Passed,1,220.41,22
3456,3/6/2023,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,9/25/1946,KY,Female,Black,Divorced,Fully Meets,3,3/30/2023,4,3,4,6/8/2023,Technical Skills,External,Passed,2,336.82,77
3457,9/25/2020,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,8/23/1947,KY,Female,White,Divorced,Needs Improvement,3,4/21/2023,5,1,4,4/15/2023,Customer Service,External,Completed,4,485.73,73
3460,2/19/2020,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,2/10/1944,TX,Male,Asian,Married,Fully Meets,3,11/16/2022,4,3,3,7/8/2023,Communication Skills,External,Incomplete,5,919.52,76
3462,9/13/2018,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,8/9/1942,CO,Male,Hispanic,Divorced,Needs Improvement,3,11/8/2022,3,3,1,7/19/2023,Project Management,External,Completed,1,320.01,76
3463,4/30/2020,Area Sales Manager,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,6/21/1951,IN,Male,Hispanic,Single,Fully Meets,1,9/18/2022,4,3,4,8/29/2022,Technical Skills,Internal,Incomplete,4,926.19,69
3464,12/3/2018,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),6/17/1998,MA,Male,Black,Widowed,Needs Improvement,5,12/29/2022,2,5,3,11/13/2022,Customer Service,External,Passed,2,290.47,20
3465,11/8/2021,Area Sales Manager,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,1/7/1962,MA,Male,Asian,Divorced,Needs Improvement,3,5/19/2023,5,4,3,6/4/2023,Communication Skills,External,Incomplete,1,706.1,59
3466,4/13/2022,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,1/26/1979,KY,Male,Other,Married,Exceeds,4,8/4/2023,1,3,4,12/7/2022,Customer Service,External,Passed,3,447.66,43
3467,5/6/2020,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,5/14/1987,KY,Female,Asian,Divorced,Exceeds,1,6/27/2023,4,3,2,2/24/2023,Technical Skills,Internal,Incomplete,1,759.7,33
3468,9/9/2019,Area Sales Manager,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,4/26/1998,KY,Female,Black,Single,Fully Meets,4,2/5/2023,3,1,3,5/10/2023,Customer Service,Internal,Completed,3,180.63,21
3471,2/29/2020,Area Sales Manager,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,1/3/1967,TX,Male,Asian,Married,Fully Meets,4,4/30/2023,2,4,1,3/23/2023,Customer Service,External,Passed,3,109.98,53
3472,1/15/2023,Area Sales Manager,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,1/12/1982,TX,Male,Other,Married,Exceeds,4,7/26/2023,5,5,4,2/12/2023,Technical Skills,External,Completed,5,537.24,41
3473,6/29/2023,Area Sales Manager,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),10/1/1950,CO,Male,Hispanic,Widowed,Exceeds,2,6/28/2023,3,4,4,12/6/2022,Communication Skills,External,Failed,5,789.99,73
3474,3/9/2020,Area Sales Manager,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,12/16/1965,CO,Male,Other,Divorced,Fully Meets,2,5/9/2023,3,1,2,9/1/2022,Customer Service,External,Incomplete,5,155.51,55
3475,9/21/2021,Area Sales Manager,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,12/25/1957,IN,Male,Asian,Widowed,Fully Meets,2,1/25/2023,4,3,4,11/2/2022,Customer Service,Internal,Passed,2,648.76,64
3476,6/12/2023,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,6/20/1945,MA,Male,Asian,Divorced,Needs Improvement,2,3/3/2023,5,5,3,11/18/2022,Leadership Development,Internal,Incomplete,4,533.5,78
3477,4/7/2019,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,12/3/1969,KY,Female,Asian,Widowed,Needs Improvement,2,12/5/2022,1,2,1,11/7/2022,Leadership Development,External,Failed,5,429.48,50
3478,9/17/2018,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,10/10/1957,KY,Female,Hispanic,Married,Fully Meets,2,11/29/2022,3,4,1,10/5/2022,Technical Skills,External,Incomplete,1,526.74,61
3479,8/2/2022,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,5/17/1962,TX,Female,Hispanic,Widowed,Fully Meets,2,11/3/2022,4,4,4,1/18/2023,Communication Skills,Internal,Passed,3,443.45,60
3483,9/26/2021,Area Sales Manager,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,6/19/1964,CO,Male,Asian,Widowed,Fully Meets,1,10/23/2022,1,4,5,8/10/2022,Project Management,External,Passed,4,111.96,57
